lecture,slide_id,model_name,num_concepts_run1,num_concepts_run2,num_triples_run1,num_triples_run2,concept_jaccard,triple_jaccard
Lecture 10,Slide19,OpenGVLab__InternVL3-14B,0,0,0,0,1.0,1.0
Lecture 10,Slide19,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 10,Slide19,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 10,Slide19,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,1,1,1.0,1.0
Lecture 10,Slide2,OpenGVLab__InternVL3-14B,0,0,0,0,1.0,1.0
Lecture 10,Slide2,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 10,Slide2,Qwen__Qwen3-VL-4B-Instruct,0,0,0,0,1.0,1.0
Lecture 10,Slide2,llava-hf__llava-onevision-qwen2-7b-ov-hf,0,0,0,0,1.0,1.0
Lecture 10,Slide20,OpenGVLab__InternVL3-14B,0,0,0,0,1.0,1.0
Lecture 10,Slide20,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 10,Slide20,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 10,Slide20,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 10,Slide21,OpenGVLab__InternVL3-14B,0,0,0,0,1.0,1.0
Lecture 10,Slide21,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 10,Slide21,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 10,Slide21,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 10,Slide22,OpenGVLab__InternVL3-14B,0,0,0,0,1.0,1.0
Lecture 10,Slide22,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 10,Slide22,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 10,Slide22,llava-hf__llava-onevision-qwen2-7b-ov-hf,11,11,0,0,1.0,1.0
Lecture 10,Slide23,OpenGVLab__InternVL3-14B,0,0,1,1,1.0,1.0
Lecture 10,Slide23,Qwen__Qwen2-VL-7B-Instruct,1,1,1,1,1.0,1.0
Lecture 10,Slide23,Qwen__Qwen3-VL-4B-Instruct,4,4,2,2,1.0,1.0
Lecture 10,Slide23,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 10,Slide24,OpenGVLab__InternVL3-14B,0,0,0,0,1.0,1.0
Lecture 10,Slide24,Qwen__Qwen2-VL-7B-Instruct,1,1,1,1,1.0,1.0
